type	name	mode	prot	user	group	size	last-modified	directories	files
link	/etc/alternatives/gnome-text-editor	0777	lrwxrwxrwx	root	root	14	2020-08-14T21:52:10		
link	/etc/alternatives/gnome-text-editor.1.gz	0777	lrwxrwxrwx	root	root	30	2020-08-14T21:52:10		
link	/etc/alternatives/gnome-www-browser	0777	lrwxrwxrwx	root	root	29	2020-08-14T22:41:50		
link	/etc/alternatives/google-chrome	0777	lrwxrwxrwx	root	root	29	2020-08-14T22:41:50		
link	/etc/alternatives/gstreamer-codec-install	0777	lrwxrwxrwx	root	root	40	2020-08-14T21:52:10		
link	/etc/alternatives/identify	0777	lrwxrwxrwx	root	root	25	2020-08-15T13:33:20		
link	/etc/alternatives/identify-im6	0777	lrwxrwxrwx	root	root	25	2020-08-15T13:33:20		
link	/etc/alternatives/identify-im6.1.gz	0777	lrwxrwxrwx	root	root	41	2020-08-15T13:33:20		
link	/etc/alternatives/identify.1.gz	0777	lrwxrwxrwx	root	root	41	2020-08-15T13:33:20		
link	/etc/alternatives/import	0777	lrwxrwxrwx	root	root	23	2020-08-15T13:33:20		
link	/etc/alternatives/import-im6	0777	lrwxrwxrwx	root	root	23	2020-08-15T13:33:20		
link	/etc/alternatives/import-im6.1.gz	0777	lrwxrwxrwx	root	root	39	2020-08-15T13:33:20		
link	/etc/alternatives/import.1.gz	0777	lrwxrwxrwx	root	root	39	2020-08-15T13:33:20		
link	/etc/alternatives/infobrowser	0777	lrwxrwxrwx	root	root	13	2020-08-14T21:52:10		
link	/etc/alternatives/infobrowser.1.gz	0777	lrwxrwxrwx	root	root	29	2020-08-14T21:52:10		
link	/etc/alternatives/ip6tables	0777	lrwxrwxrwx	root	root	26	2020-08-14T21:52:10		
link	/etc/alternatives/ip6tables-restore	0777	lrwxrwxrwx	root	root	34	2020-08-14T21:52:10		
link	/etc/alternatives/ip6tables-save	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/iptables	0777	lrwxrwxrwx	root	root	25	2020-08-14T21:52:10		
link	/etc/alternatives/iptables-restore	0777	lrwxrwxrwx	root	root	33	2020-08-14T21:52:10		
link	/etc/alternatives/iptables-save	0777	lrwxrwxrwx	root	root	30	2020-08-14T21:52:10		
link	/etc/alternatives/lft	0777	lrwxrwxrwx	root	root	15	2020-09-12T17:39:40		
link	/etc/alternatives/lft.1.gz	0777	lrwxrwxrwx	root	root	31	2020-09-12T17:39:40		
link	/etc/alternatives/lua-compiler	0777	lrwxrwxrwx	root	root	16	2020-08-14T22:56:15		
link	/etc/alternatives/lua-compiler-manual	0777	lrwxrwxrwx	root	root	32	2020-08-14T22:56:15		
link	/etc/alternatives/lua-interpreter	0777	lrwxrwxrwx	root	root	15	2020-08-14T22:56:15		
link	/etc/alternatives/lua-manual	0777	lrwxrwxrwx	root	root	31	2020-08-14T22:56:15		
link	/etc/alternatives/lzcat	0777	lrwxrwxrwx	root	root	14	2020-08-14T21:52:10		
link	/etc/alternatives/lzcat.1.gz	0777	lrwxrwxrwx	root	root	30	2020-08-14T21:52:10		
link	/etc/alternatives/lzcmp	0777	lrwxrwxrwx	root	root	14	2020-08-14T21:52:10		
link	/etc/alternatives/lzcmp.1.gz	0777	lrwxrwxrwx	root	root	30	2020-08-14T21:52:10		
link	/etc/alternatives/lzdiff	0777	lrwxrwxrwx	root	root	15	2020-08-14T21:52:10		
link	/etc/alternatives/lzdiff.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
link	/etc/alternatives/lzegrep	0777	lrwxrwxrwx	root	root	16	2020-08-14T21:52:10		
link	/etc/alternatives/lzegrep.1.gz	0777	lrwxrwxrwx	root	root	32	2020-08-14T21:52:10		
link	/etc/alternatives/lzfgrep	0777	lrwxrwxrwx	root	root	16	2020-08-14T21:52:10		
link	/etc/alternatives/lzfgrep.1.gz	0777	lrwxrwxrwx	root	root	32	2020-08-14T21:52:10		
link	/etc/alternatives/lzgrep	0777	lrwxrwxrwx	root	root	15	2020-08-14T21:52:10		
link	/etc/alternatives/lzgrep.1.gz	0777	lrwxrwxrwx	root	root	31	2020-08-14T21:52:10		
