type	name	mode	prot	user	group
file	/bin/dh_prep	0755	-rwxr-xr-x	root	root
file	/bin/dh_shlibdeps	0755	-rwxr-xr-x	root	root
file	/bin/dh_strip	0755	-rwxr-xr-x	root	root
file	/bin/dh_strip_nondeterminism	0755	-rwxr-xr-x	root	root
file	/bin/dh_systemd_enable	0755	-rwxr-xr-x	root	root
file	/bin/dh_systemd_start	0755	-rwxr-xr-x	root	root
file	/bin/dh_testdir	0755	-rwxr-xr-x	root	root
file	/bin/dh_testroot	0755	-rwxr-xr-x	root	root
file	/bin/dh_ucf	0755	-rwxr-xr-x	root	root
file	/bin/dh_update_autotools_config	0755	-rwxr-xr-x	root	root
file	/bin/dh_usrlocal	0755	-rwxr-xr-x	root	root
file	/bin/diff	0755	-rwxr-xr-x	root	root
file	/bin/diff3	0755	-rwxr-xr-x	root	root
file	/bin/dig	0755	-rwxr-xr-x	root	root
file	/bin/dir	0755	-rwxr-xr-x	root	root
file	/bin/dircolors	0755	-rwxr-xr-x	root	root
file	/bin/dirmngr	0755	-rwxr-xr-x	root	root
file	/bin/dirmngr-client	0755	-rwxr-xr-x	root	root
file	/bin/dirname	0755	-rwxr-xr-x	root	root
file	/bin/dirsplit	0755	-rwxr-xr-x	root	root
file	/bin/disdvi	0755	-rwxr-xr-x	root	root
link	/bin/display	0777	lrwxrwxrwx	root	root
link	/bin/display-im6	0777	lrwxrwxrwx	root	root
file	/bin/display-im6.q16	0755	-rwxr-xr-x	root	root
file	/bin/dmesg	0755	-rwxr-xr-x	root	root
link	/bin/dnsdomainname	0777	lrwxrwxrwx	root	root
file	/bin/do-release-upgrade	0755	-rwxr-xr-x	root	root
file	/bin/docbook2dvi	0755	-rwxr-xr-x	root	root
file	/bin/docbook2html	0755	-rwxr-xr-x	root	root
file	/bin/docbook2man	0755	-rwxr-xr-x	root	root
file	/bin/docbook2pdf	0755	-rwxr-xr-x	root	root
file	/bin/docbook2ps	0755	-rwxr-xr-x	root	root
file	/bin/docbook2rtf	0755	-rwxr-xr-x	root	root
file	/bin/docbook2tex	0755	-rwxr-xr-x	root	root
file	/bin/docbook2texi	0755	-rwxr-xr-x	root	root
file	/bin/docbook2txt	0755	-rwxr-xr-x	root	root
file	/bin/docker	0755	-rwxr-xr-x	root	root
file	/bin/docker-init	0755	-rwxr-xr-x	root	root
file	/bin/docker-proxy	0755	-rwxr-xr-x	root	root
file	/bin/dockerd	0755	-rwxr-xr-x	root	root
link	/bin/domainname	0777	lrwxrwxrwx	root	root
file	/bin/dpkg	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-architecture	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-buildflags	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-buildpackage	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-checkbuilddeps	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-deb	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-distaddfile	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-divert	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-genbuildinfo	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-genchanges	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-gencontrol	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-gensymbols	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-maintscript-helper	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-mergechangelogs	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-name	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-parsechangelog	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-query	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-scanpackages	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-scansources	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-shlibdeps	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-source	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-split	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-statoverride	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-trigger	0755	-rwxr-xr-x	root	root
file	/bin/dpkg-vendor	0755	-rwxr-xr-x	root	root
link	/bin/driverless	0777	lrwxrwxrwx	root	root
file	/bin/dt2dv	0755	-rwxr-xr-x	root	root
file	/bin/du	0755	-rwxr-xr-x	root	root
file	/bin/dumpkeys	0755	-rwxr-xr-x	root	root
file	/bin/duplicity	0755	-rwxr-xr-x	root	root
file	/bin/dv2dt	0755	-rwxr-xr-x	root	root
file	/bin/dvi2tty	0755	-rwxr-xr-x	root	root
file	/bin/dvibook	0755	-rwxr-xr-x	root	root
file	/bin/dviconcat	0755	-rwxr-xr-x	root	root
file	/bin/dvicopy	0755	-rwxr-xr-x	root	root
file	/bin/dvihp	0755	-rwxr-xr-x	root	root
file	/bin/dvilj	0755	-rwxr-xr-x	root	root
file	/bin/dvilj2p	0755	-rwxr-xr-x	root	root
file	/bin/dvilj4	0755	-rwxr-xr-x	root	root
file	/bin/dvilj4l	0755	-rwxr-xr-x	root	root
link	/bin/dvilj6	0777	lrwxrwxrwx	root	root
link	/bin/dvilualatex	0777	lrwxrwxrwx	root	root
